variante,clase,media,desv
con_puerto,BENIGN,0.9999383621203581,1.3270514113507397e-05
con_puerto,Bot,0.614304058094939,0.03925378803284343
con_puerto,DDoS,0.9995119313109788,0.00016177826582603795
con_puerto,DoS GoldenEye,0.9816184480134975,0.004497198828374599
con_puerto,DoS Hulk,0.9922499610346669,0.00041022857951335246
con_puerto,DoS Slowhttptest,0.9774489045889403,0.005010604464141012
con_puerto,DoS slowloris,0.9757461698749014,0.009582726620885867
con_puerto,FTP-Patator,0.9993679773723032,0.0009423705156650818
con_puerto,PortScan,0.9889415043626799,0.0008574299223874499
con_puerto,SSH-Patator,0.9972928106525336,0.0022007846094019862
con_puerto,Web Attack,0.9519104895341517,0.017375162244559345
sin_puerto,BENIGN,0.9999080168447161,2.0129960566136242e-05
sin_puerto,Bot,0.46061936117668606,0.060295978490131394
sin_puerto,DDoS,0.9990534357348194,0.00012706947822019668
sin_puerto,DoS GoldenEye,0.9785726453340887,0.004129830479738743
sin_puerto,DoS Hulk,0.9862004621406075,0.0008638700697111622
sin_puerto,DoS Slowhttptest,0.925923546219239,0.009822011493391009
sin_puerto,DoS slowloris,0.9618860611691511,0.0027014209673715465
sin_puerto,FTP-Patator,0.9943369412438792,0.0031859507958416668
sin_puerto,PortScan,0.987478594645508,0.002576841718050466
sin_puerto,SSH-Patator,0.9945840784266927,0.003709968068963123
sin_puerto,Web Attack,0.872033889983048,0.01979986953796884
