variante,clase,media,desv
con_puerto,BENIGN,0.9980957481736009,9.358210928518478e-05
con_puerto,Bot,0.9800972874927858,0.010518963841368313
con_puerto,DDoS,0.9997851791356693,7.404491592171889e-05
con_puerto,DoS GoldenEye,0.9981772520284968,0.002060191618225988
con_puerto,DoS Hulk,0.9990309305109493,0.0002444446897646165
con_puerto,DoS Slowhttptest,0.9937839058382352,0.0022958323122154616
con_puerto,DoS slowloris,0.995821240612141,0.003344605154330587
con_puerto,FTP-Patator,0.9995785036880929,0.0009424944056901
con_puerto,PortScan,0.9995451726276616,0.0001985371137879838
con_puerto,SSH-Patator,0.9996116504854369,0.0008683759135921411
con_puerto,Web Attack,0.986588921282799,0.011215967382898744
sin_puerto,BENIGN,0.9966378526900833,0.00015680147392168855
sin_puerto,Bot,0.9839516860417182,0.005560450751661197
sin_puerto,DDoS,0.9996680045088059,7.241617932650356e-05
sin_puerto,DoS GoldenEye,0.9981772520284968,0.0013584034679794755
sin_puerto,DoS Hulk,0.9989875400267156,0.00023985419774339502
sin_puerto,DoS Slowhttptest,0.994023140287996,0.002669930562484537
sin_puerto,DoS slowloris,0.9958209711364597,0.0033447688024438385
sin_puerto,FTP-Patator,0.99768177028451,0.001373909885184946
sin_puerto,PortScan,0.9995313899800152,0.00026867326427697577
sin_puerto,SSH-Patator,0.9949514563106796,0.0032491651515886575
sin_puerto,Web Attack,0.9854227405247814,0.009886778401057249
