variante,fold,macro_f1
con_puerto,1,0.9691355838099152
con_puerto,2,0.9696076264528358
con_puerto,3,0.9743271601923865
con_puerto,4,0.9694815249658201
con_puerto,5,0.9678273267815161
sin_puerto,1,0.9487309742426288
sin_puerto,2,0.9455029852508933
sin_puerto,3,0.9554306800393794
sin_puerto,4,0.9485397689055326
sin_puerto,5,0.9521003077916682
