modelo,tecnica,clase,media,desv
Árboles (HistGB),SMOTE,Web Attack,0.8853968227831464,0.05321548586430543
Árboles (HistGB),Submuestreo + SMOTE,BENIGN,0.9999211695813852,3.693520185480169e-05
Árboles (HistGB),Submuestreo + SMOTE,Bot,0.5119682594127429,0.06472871981072564
Árboles (HistGB),Submuestreo + SMOTE,DDoS,0.9970923224274222,0.004358846782155827
Árboles (HistGB),Submuestreo + SMOTE,DoS GoldenEye,0.9388782294518894,0.11643932822669971
Árboles (HistGB),Submuestreo + SMOTE,DoS Hulk,0.9949362031427966,0.0027257393411814156
Árboles (HistGB),Submuestreo + SMOTE,DoS Slowhttptest,0.9251874484109812,0.08561386437615624
Árboles (HistGB),Submuestreo + SMOTE,DoS slowloris,0.9550766344967458,0.031772989358992795
Árboles (HistGB),Submuestreo + SMOTE,FTP-Patator,0.8878871849032575,0.17070300378196954
Árboles (HistGB),Submuestreo + SMOTE,PortScan,0.9837010849404966,0.005478524869592313
Árboles (HistGB),Submuestreo + SMOTE,SSH-Patator,0.9726166024862394,0.03346487036588278
Árboles (HistGB),Submuestreo + SMOTE,Web Attack,0.7874660795777911,0.3098137842660886
