clase,precision,recall
Bot,0.0007796143360968443,1.0
Bot,0.003483954120105794,0.9993581514762516
Bot,0.003592864114971652,0.9993581514762516
Bot,0.0036470789404029354,0.9993581514762516
Bot,0.0036830452184279995,0.9993581514762516
Bot,0.0037084408114268566,0.9993581514762516
Bot,0.0037316741723568505,0.9993581514762516
Bot,0.0037678409811390157,0.9993581514762516
Bot,0.0037962832022392463,0.9993581514762516
Bot,0.00382016517245948,0.9993581514762516
Bot,0.0038401586377672325,0.9993581514762516
Bot,0.003855334574699893,0.9993581514762516
Bot,0.0038688900981758817,0.9993581514762516
Bot,0.0038845076255604096,0.9993581514762516
Bot,0.003909398374473663,0.9993581514762516
Bot,0.003934799090219864,0.9993581514762516
Bot,0.00394669803070668,0.9993581514762516
Bot,0.003956627032631373,0.9993581514762516
Bot,0.003965858466993207,0.9993581514762516
Bot,0.003973814172504881,0.9993581514762516
Bot,0.0039819138760875455,0.9993581514762516
Bot,0.003989126619541853,0.9993581514762516
Bot,0.003997463395096753,0.9993581514762516
Bot,0.0040098482078013056,0.9993581514762516
Bot,0.00402423327629967,0.9993581514762516
Bot,0.004033030963938435,0.9993581514762516
Bot,0.004039549708254743,0.9993581514762516
Bot,0.004044922803544568,0.9993581514762516
Bot,0.004050289139137967,0.9993581514762516
Bot,0.0040558176366852225,0.9993581514762516
Bot,0.004060884579071187,0.9993581514762516
Bot,0.0040656456856370685,0.9993581514762516
Bot,0.004070811730840124,0.9993581514762516
Bot,0.004075905560456648,0.9993581514762516
Bot,0.004080669890317254,0.9993581514762516
Bot,0.004086142282780991,0.9993581514762516
Bot,0.0040902212975222245,0.9993581514762516
Bot,0.004094362297155509,0.9993581514762516
Bot,0.004098231206569805,0.9993581514762516
Bot,0.004102183088572377,0.9993581514762516
Bot,0.004107474971310989,0.9993581514762516
Bot,0.004114149821640904,0.9993581514762516
Bot,0.0041233018193374115,0.9993581514762516
Bot,0.0041321656050955415,0.9993581514762516
Bot,0.004137623138800382,0.9993581514762516
Bot,0.004142323532228714,0.9993581514762516
Bot,0.004145808925338162,0.9993581514762516
Bot,0.00414924490138548,0.9993581514762516
Bot,0.00415225467161986,0.9993581514762516
Bot,0.004155623703869775,0.9993581514762516
Bot,0.004159487076738129,0.9993581514762516
Bot,0.004164315268353611,0.9993581514762516
Bot,0.004170908116796142,0.9993581514762516
Bot,0.004179158961034778,0.9993581514762516
Bot,0.0041853151082617635,0.9993581514762516
Bot,0.004189628449649116,0.9993581514762516
Bot,0.004192539057661549,0.9993581514762516
Bot,0.00419633568529369,0.9993581514762516
Bot,0.004202837522674268,0.9993581514762516
Bot,0.0042085972153520545,0.9993581514762516
Bot,0.004214053340117679,0.9993581514762516
Bot,0.0042195693708586834,0.9993581514762516
Bot,0.004224950817447935,0.9993581514762516
Bot,0.004229828850855746,0.9993581514762516
Bot,0.004235063716356811,0.9993581514762516
Bot,0.004240658023749864,0.9993581514762516
Bot,0.004247390732668082,0.9993581514762516
Bot,0.004253970509083061,0.9993581514762516
