modelo,tecnica,clase,media,desv
Árboles (HistGB),SMOTE,Web Attack,0.9755102040816327,0.01694978641836575
Árboles (HistGB),Submuestreo + SMOTE,BENIGN,0.9960328604494345,0.003940154244642325
Árboles (HistGB),Submuestreo + SMOTE,Bot,0.9865260944842937,0.00615824575320371
Árboles (HistGB),Submuestreo + SMOTE,DDoS,0.998672058079768,0.002319221580780671
Árboles (HistGB),Submuestreo + SMOTE,DoS GoldenEye,0.9956254639597883,0.0030796677531305743
Árboles (HistGB),Submuestreo + SMOTE,DoS Hulk,0.9985680781951801,0.0019580846110140555
Árboles (HistGB),Submuestreo + SMOTE,DoS Slowhttptest,0.9863679237193669,0.015333989726277062
Árboles (HistGB),Submuestreo + SMOTE,DoS slowloris,0.9881560048613414,0.015131407994206847
Árboles (HistGB),Submuestreo + SMOTE,FTP-Patator,0.9983140147523709,0.002185083388127281
Árboles (HistGB),Submuestreo + SMOTE,PortScan,0.9992419543794362,0.0002799268969966373
Árboles (HistGB),Submuestreo + SMOTE,SSH-Patator,0.9992233009708738,0.0010635389466119604
Árboles (HistGB),Submuestreo + SMOTE,Web Attack,0.988338192419825,0.005049710809238736
