clase,precision,recall
Bot,0.0007796143360968443,1.0
Bot,0.003084304318026045,0.9993581514762516
Bot,0.0031644283298647245,0.9993581514762516
Bot,0.0032191569819731342,0.9993581514762516
Bot,0.0032590471525723867,0.9993581514762516
Bot,0.0032937323890031224,0.9993581514762516
Bot,0.003323571099233252,0.9993581514762516
Bot,0.0033479335057830873,0.9993581514762516
Bot,0.0033663481932634117,0.9993581514762516
Bot,0.0033818565675784863,0.9993581514762516
Bot,0.003397397292555838,0.9993581514762516
Bot,0.0034121166299595673,0.9993581514762516
Bot,0.003425817949789874,0.9993581514762516
Bot,0.003439964120091644,0.9993581514762516
Bot,0.003451861278186321,0.9993581514762516
Bot,0.003463833308861807,0.9993581514762516
Bot,0.0034744847408306628,0.9993581514762516
Bot,0.0034842893683298907,0.9993581514762516
Bot,0.003492566239872231,0.9993581514762516
Bot,0.003500803813335432,0.9993581514762516
Bot,0.003508597980471734,0.9993581514762516
Bot,0.0035163633982027475,0.9993581514762516
Bot,0.003524083500634878,0.9993581514762516
Bot,0.0035319337166967234,0.9993581514762516
Bot,0.0035395936628315385,0.9993581514762516
Bot,0.0035467455136061086,0.9993581514762516
Bot,0.0035542832880202163,0.9993581514762516
Bot,0.0035623176800320313,0.9993581514762516
Bot,0.0035731169421278977,0.9993581514762516
Bot,0.003582184327195842,0.9993581514762516
Bot,0.00358826037357547,0.9993581514762516
Bot,0.0035945064306343367,0.9993581514762516
Bot,0.0036006993265744096,0.9993581514762516
Bot,0.0036099157918165967,0.9993581514762516
Bot,0.003617060818659109,0.9993581514762516
Bot,0.0036260235307268816,0.9993581514762516
Bot,0.0036324188129899216,0.9993581514762516
Bot,0.0036416878533220755,0.9993581514762516
Bot,0.0036479676111083777,0.9993581514762516
Bot,0.003652580265275386,0.9993581514762516
Bot,0.003657720091619193,0.9993581514762516
Bot,0.0036642708877561107,0.9993581514762516
Bot,0.0036691064535741384,0.9993581514762516
Bot,0.003673469387755102,0.9993581514762516
Bot,0.0036773215306348988,0.9993581514762516
Bot,0.0036814167661697425,0.9993581514762516
Bot,0.003685582201265454,0.9993581514762516
Bot,0.003689407348958222,0.9993581514762516
Bot,0.003692776199262868,0.9993581514762516
Bot,0.0036962214029498553,0.9993581514762516
Bot,0.0036995148099395058,0.9993581514762516
Bot,0.0037029109589041096,0.9993581514762516
Bot,0.003706242769613094,0.9993581514762516
Bot,0.0037098015482524382,0.9993581514762516
Bot,0.003712995244885987,0.9993581514762516
Bot,0.0037183155099370013,0.9993581514762516
