clase,precision,recall
Bot,0.0007796143360968443,1.0
Bot,0.0011105135750834134,0.9993581514762516
Bot,0.0011659500619691967,0.9987163029525032
Bot,0.001198829215375524,0.9987163029525032
Bot,0.0013902228734548735,0.9987163029525032
Bot,0.0014593802698540431,0.9987163029525032
Bot,0.0018492570288999892,0.9987163029525032
Bot,0.001986510622597452,0.9987163029525032
Bot,0.0021641077992720476,0.9987163029525032
Bot,0.002317145086639782,0.9987163029525032
Bot,0.00243544352932706,0.9987163029525032
Bot,0.003664970793291879,0.9987163029525032
Bot,0.003942604196491691,0.9987163029525032
Bot,0.0043701236329320835,0.9987163029525032
Bot,0.004864993309070899,0.9987163029525032
Bot,0.005410066339373879,0.9987163029525032
Bot,0.005900913200449016,0.9987163029525032
Bot,0.006311400270952145,0.9987163029525032
Bot,0.0067444269621037755,0.9987163029525032
Bot,0.007155207298679322,0.9987163029525032
Bot,0.007668915755284701,0.9987163029525032
Bot,0.0080491224077015,0.9987163029525032
Bot,0.008448669986045577,0.9987163029525032
Bot,0.008836892321671968,0.9987163029525032
Bot,0.009252872196189433,0.9987163029525032
Bot,0.009784871180535904,0.9987163029525032
Bot,0.010221845581810897,0.9987163029525032
Bot,0.01066535063368359,0.9987163029525032
Bot,0.011157161090476259,0.9987163029525032
Bot,0.011618356405776324,0.9987163029525032
Bot,0.012041666021761674,0.9987163029525032
Bot,0.01246525190864156,0.9987163029525032
Bot,0.012951448714427214,0.9987163029525032
Bot,0.01327690364858869,0.9987163029525032
Bot,0.013781863917379674,0.9987163029525032
Bot,0.014100461255448523,0.9987163029525032
Bot,0.014442845871815102,0.9987163029525032
Bot,0.01498834453927216,0.9987163029525032
Bot,0.015395879920052244,0.9987163029525032
Bot,0.015704639731931085,0.9987163029525032
Bot,0.01612502072624772,0.9987163029525032
Bot,0.01639016168957708,0.9987163029525032
Bot,0.016751536813547643,0.9987163029525032
Bot,0.01718501502032161,0.9987163029525032
Bot,0.01749769471245755,0.9987163029525032
Bot,0.017879508658232502,0.9987163029525032
Bot,0.018238293383344078,0.9987163029525032
Bot,0.018658192937226453,0.9987163029525032
Bot,0.01897121398700301,0.9987163029525032
Bot,0.019288459154580388,0.9987163029525032
Bot,0.019713420582534114,0.9987163029525032
Bot,0.02004173214147711,0.9987163029525032
Bot,0.020312255234713594,0.9987163029525032
Bot,0.020786299210494675,0.9987163029525032
