modelo,tecnica,macro_f1_media,macro_f1_desv
Árboles (HistGB),Pesos de clase,0.9700758444404947,0.002217478345345676
Árboles (HistGB),SMOTE,0.9658000414152086,0.003425501535572708
Árboles (HistGB),Sin corrección,0.9484036783352074,0.007557066930614492
Árboles (HistGB),Submuestreo + SMOTE,0.9366053606543211,0.04599424842751962
Regresión logística,SMOTE,0.8322439458124048,0.005438777401739067
Regresión logística,Sin corrección,0.7001118113302024,0.014319277081967806
Regresión logística,Submuestreo + SMOTE,0.6500066545628298,0.0020767325497104004
Regresión logística,Pesos de clase,0.5427389830786873,0.0036798362283213862
