clase,precision,recall
Bot,0.0007796143360968443,1.0
Bot,0.0007825854150791852,1.0
Bot,0.0007861000557031105,1.0
Bot,0.0007880663088501667,1.0
Bot,0.0007887429472559795,1.0
Bot,0.0007892971708914499,1.0
Bot,0.0007896468079110648,1.0
Bot,0.0007897032429026815,1.0
Bot,0.0007897328644949182,1.0
Bot,0.0007897857085285197,1.0
Bot,0.0007898209418133133,1.0
Bot,0.0007898457671516427,1.0
Bot,0.0007898713949443161,1.0
Bot,0.0007899226555191916,1.0
Bot,0.0007899458851576875,1.0
Bot,0.0007899787293917215,1.0
Bot,0.0007899991582807428,1.0
Bot,0.000790039618610656,1.0
Bot,0.0007900572461890387,1.0
Bot,0.0007900776791392108,1.0
Bot,0.0007901081302025171,1.0
Bot,0.0007901802605058979,1.0
Bot,0.000790218735386279,1.0
Bot,0.0007904095620278723,1.0
Bot,0.0007962283918281823,1.0
Bot,0.0008028002166220867,1.0
Bot,0.000810113207861114,1.0
Bot,0.0008148437544945851,1.0
Bot,0.0008236731487311574,1.0
Bot,0.0008921199128264855,1.0
Bot,0.0009045570399270781,1.0
Bot,0.0009096152992856192,1.0
Bot,0.0009135225970779004,1.0
Bot,0.0009149549922011539,1.0
Bot,0.0009168880419673428,1.0
Bot,0.0009178284344191554,1.0
Bot,0.0009197888618173682,1.0
Bot,0.0009220478932270907,1.0
Bot,0.0009257163160768642,1.0
Bot,0.0009285731740097256,1.0
Bot,0.0009321788993707493,1.0
Bot,0.0009450173384599614,1.0
Bot,0.0009474211658023526,1.0
Bot,0.0009493881077866277,1.0
Bot,0.0009573735274544372,1.0
Bot,0.000972462095512256,1.0
Bot,0.0009917041844442478,1.0
Bot,0.0010992763685214663,1.0
Bot,0.0011028683070475975,1.0
Bot,0.001138213282759064,1.0
Bot,0.0011532061796455408,1.0
Bot,0.0011549723859297972,1.0
Bot,0.0011588407724514242,1.0
Bot,0.0011618204040420611,1.0
Bot,0.0011633793856341314,1.0
Bot,0.0011666051415987581,1.0
Bot,0.0011682304308280865,1.0
Bot,0.0011697083086828694,1.0
Bot,0.0011708431498536447,1.0
Bot,0.0011718885156429817,1.0
Bot,0.0011724105754744951,1.0
Bot,0.0011766776152566298,1.0
Bot,0.001178085195673297,1.0
Bot,0.0011802341833090039,1.0
Bot,0.0011825821887030763,1.0
Bot,0.0012054083997932701,1.0
Bot,0.0012064407519889236,1.0
Bot,0.0012071109527111573,1.0
Bot,0.0012081406033724027,1.0
Bot,0.0012104204929317037,1.0
Bot,0.0012122136359250949,1.0
Bot,0.0012150260825079136,1.0
Bot,0.0012182448985017464,1.0
Bot,0.001219462559838198,1.0
Bot,0.0012207075245884813,1.0
Bot,0.0012232963360782909,1.0
Bot,0.001225220350925757,1.0
Bot,0.0012517012049431753,1.0
Bot,0.001253016931813521,1.0
Bot,0.0012544525820144673,1.0
Bot,0.0012556394976797264,1.0
Bot,0.0012564141231269713,1.0
Bot,0.0012590967314398394,1.0
Bot,0.0012624768856526552,1.0
Bot,0.0012639302063905545,1.0
Bot,0.001266903567333729,1.0
Bot,0.0012701166338811357,1.0
Bot,0.0012784365984067957,1.0
Bot,0.001281258429331772,1.0
Bot,0.0015044738300736401,1.0
Bot,0.0015265395464864606,1.0
Bot,0.001611997065710091,1.0
Bot,0.0016489494562065272,1.0
Bot,0.001655718872113252,1.0
Bot,0.0016632504910752413,1.0
Bot,0.0016815502209328178,1.0
Bot,0.0016845556092566223,1.0
Bot,0.0017113989944843929,0.9993581514762516
Bot,0.0017709240879797818,0.9993581514762516
Bot,0.001799848105304408,0.9993581514762516
Bot,0.001816406455067564,0.9993581514762516
Bot,0.002305939014799774,0.9993581514762516
Bot,0.002324890362829229,0.9993581514762516
Bot,0.002362386435407861,0.9987163029525032
Bot,0.002522055832092026,0.9987163029525032
Bot,0.002537032356945452,0.9987163029525032
Bot,0.00260726044956811,0.9987163029525032
Bot,0.0026823886360502,0.9987163029525032
Bot,0.002701210684017374,0.9987163029525032
Bot,0.002790756068908,0.9987163029525032
Bot,0.0028313508418537706,0.9987163029525032
Bot,0.002858113755131655,0.9987163029525032
Bot,0.002905446030779802,0.9987163029525032
Bot,0.003084101220360618,0.9987163029525032
